age,sex,bmi,children,smoker,region,expenses
39,male,29.9,1,yes,northeast,22462.04
51,male,32.3,1,no,northeast,9964.06
19,female,25.7,1,no,northwest,2710.83
33,female,26.7,0,no,northwest,4571.41
27,male,28.5,0,yes,northwest,18310.74
50,female,26.2,2,no,northwest,10493.95
37,male,29.8,2,no,northeast,6406.41
22,female,34.6,2,no,northeast,3925.76
18,female,39.8,0,no,southeast,1633.96
63,female,36.3,0,no,southeast,13887.2
28,female,33.1,0,no,southeast,3171.61
24,female,30.1,3,no,southwest,4234.93
27,female,32.4,1,no,northeast,18903.49
18,male,33.3,0,no,southeast,1135.94
24,male,29.3,0,no,southwest,1977.82
46,female,30.2,2,no,southwest,8825.09
31,male,28.5,5,no,northeast,6799.46
22,male,52.6,1,yes,southeast,44501.4
60,male,25.7,0,no,southeast,12142.58
19,female,33.1,0,yes,southeast,34439.86
19,female,30.6,2,no,northwest,24059.68
60,female,30.5,0,no,southwest,12638.2
55,female,37.1,0,no,southwest,10713.64
59,female,32.4,3,no,northeast,14590.63
58,male,23.3,0,no,southwest,11345.52
27,female,34.8,1,no,southwest,3578.0
51,male,30.0,1,no,southeast,9377.9
19,female,22.5,0,no,northwest,2117.34
64,male,38.2,0,no,northeast,14410.93
60,male,37.0,0,no,northeast,12741.17
42,male,26.1,2,no,northeast,7729.65
51,male,25.4,0,no,southwest,8782.47
31,female,25.8,2,no,southwest,4934.71
44,male,39.5,0,no,northwest,6948.7
54,male,24.0,0,no,northeast,10422.92
44,female,25.8,1,no,southwest,7624.63
62,female,30.5,2,no,northwest,15019.76
25,male,25.7,0,no,southeast,2137.65
41,male,37.1,2,no,northwest,7265.7
48,female,28.9,1,no,northwest,9249.5
19,female,28.3,0,yes,southwest,17081.08
61,female,29.1,0,yes,northwest,29141.36
46,female,33.7,1,no,northeast,8823.99
19,female,31.8,1,no,northwest,2719.28
22,male,25.2,0,no,northwest,2045.69
46,female,35.5,0,yes,northeast,42111.66
29,male,22.9,0,yes,northeast,16138.76
18,female,25.1,0,no,northeast,2196.47
64,female,31.3,2,yes,southwest,47291.06
19,male,44.9,0,yes,southeast,39722.75
18,male,25.5,0,no,northeast,1708.0
25,male,23.9,5,no,southwest,5080.1
21,female,32.7,2,no,northwest,26018.95
35,male,39.7,4,no,northeast,19496.72
41,female,33.1,2,no,northwest,7749.16
44,female,37.0,1,no,northwest,8023.14
21,female,21.9,2,no,southeast,3180.51
28,male,24.0,3,yes,southeast,17663.14
29,female,31.2,0,no,northeast,3943.6
21,male,36.9,0,no,northwest,1917.32
49,female,42.7,2,no,southeast,9800.89
32,male,33.6,1,yes,northeast,37607.53
57,male,40.4,0,no,southeast,10982.5
46,female,27.7,1,no,southeast,8232.64
50,male,36.2,0,no,southwest,8457.82
56,female,28.6,0,no,northeast,11658.12
18,male,33.7,0,no,southeast,1136.4
59,male,29.8,3,yes,northeast,30184.94
47,male,38.9,2,yes,southeast,44202.65
50,male,32.1,2,no,northeast,25333.33
25,male,26.7,4,no,northwest,4877.98
33,male,24.8,0,yes,northeast,17904.53
30,female,23.7,3,yes,northwest,18765.88
64,male,34.5,0,no,southwest,13822.8
30,male,31.6,3,no,southeast,4837.58
39,male,32.3,2,no,southeast,6338.08
64,female,26.9,0,yes,northwest,29330.98
64,female,31.8,2,no,northeast,16069.08
23,female,34.9,0,no,northeast,2899.49
42,female,25.0,2,no,northwest,8017.06
57,male,42.1,1,yes,southeast,48675.52
31,male,38.4,2,no,southeast,4463.21
47,male,25.4,1,yes,southeast,21978.68
53,male,31.2,1,no,northwest,10461.98
26,female,42.4,1,no,southwest,3410.32
45,female,27.8,2,no,southeast,8515.76
48,male,40.2,0,no,southeast,7804.16
38,male,16.8,2,no,northeast,6640.54
46,female,32.3,2,no,northeast,9411.01
54,male,40.6,3,yes,northeast,48549.18
43,female,20.0,2,yes,northeast,19798.05
51,female,33.9,0,no,northeast,9866.3
47,male,19.2,1,no,northeast,8627.54
53,male,31.4,0,no,southeast,27346.04
53,male,26.4,2,no,northeast,11244.38
33,male,42.4,5,no,southwest,6666.24
46,male,22.3,0,no,southwest,7147.11
46,male,33.4,1,no,northeast,8334.59
31,male,26.9,1,no,northeast,4441.21
41,female,28.1,1,no,southeast,6770.19
50,female,33.7,4,no,southwest,11299.34
60,male,40.9,0,yes,southeast,48673.56
57,male,33.6,1,no,northwest,11945.13
27,male,26.0,0,no,northeast,3070.81
53,female,39.6,1,no,southeast,10579.71
21,female,33.6,2,no,northwest,3579.83
31,male,29.8,0,yes,southeast,19350.37
63,male,28.3,0,no,northwest,13770.1
49,male,32.3,3,no,northwest,10269.46
28,male,22.5,2,no,northeast,4428.89
50,female,30.1,1,no,northwest,9910.36
18,male,53.1,0,no,southeast,1163.46
25,female,22.5,1,no,northwest,3594.17
18,male,23.3,1,no,southeast,1711.03
18,male,30.1,0,no,southeast,1131.51
35,female,38.1,2,no,northeast,24915.05
62,male,26.7,0,yes,northeast,28101.33
37,male,22.7,3,no,northeast,6985.51
50,male,34.2,2,yes,southwest,42856.84
19,male,20.7,0,no,southwest,1242.82
45,female,25.2,2,no,northeast,9095.07
52,female,24.9,0,no,southeast,27117.99
61,female,33.3,4,no,southeast,36580.28
55,male,33.9,3,no,southeast,11987.17
18,male,33.5,0,yes,northeast,34617.84
50,male,44.8,1,no,southeast,9058.73
43,male,35.3,2,no,southeast,18806.15
47,female,26.1,1,yes,northeast,23401.31
34,female,19.0,3,no,northeast,6753.04
23,male,41.9,0,no,southeast,1837.28
19,female,32.1,0,no,northwest,2130.68
55,female,32.4,1,no,northeast,11879.1
30,female,22.9,1,no,northeast,4719.52
52,male,32.8,3,no,northwest,11289.11
39,female,24.2,5,no,northwest,8965.8
34,male,27.8,1,yes,northwest,20009.63
33,female,35.5,0,yes,northwest,55135.4
59,female,34.8,2,no,southwest,36910.61
18,female,24.1,1,no,southeast,2201.1
42,female,32.9,0,no,northeast,7050.02
51,female,39.5,1,no,southwest,9880.07
48,male,37.3,2,no,southeast,8978.19
20,female,31.9,0,no,northwest,2261.57
58,female,33.0,0,no,northeast,12430.95
46,male,24.8,3,no,northeast,9500.57
37,male,29.8,0,no,southwest,20420.6
48,female,33.1,0,yes,southeast,40974.16
64,female,39.3,0,no,northeast,14901.52
22,male,35.6,0,yes,southwest,35585.58
57,female,38.0,2,no,southwest,12646.21
21,male,20.2,3,no,northeast,3861.21
48,male,36.7,1,no,northwest,28468.92
25,male,25.0,2,no,northeast,23241.47
28,female,26.3,3,no,northwest,5312.17
37,male,46.5,3,no,southeast,6435.62
29,male,29.7,2,no,northwest,18157.88
19,male,27.7,0,yes,southwest,16297.85
56,male,33.6,0,yes,northwest,43921.18
42,female,36.2,1,no,northwest,7443.64
41,female,21.8,1,no,northeast,13725.47
24,female,39.5,0,no,southeast,2480.98
27,female,18.0,2,yes,northeast,15006.58
47,male,29.8,3,yes,southwest,25309.49
32,male,33.8,1,no,northwest,4462.72
48,male,30.2,2,no,southwest,8968.33
53,male,30.5,0,no,northeast,10072.06
47,male,19.6,1,no,northwest,8428.07
37,male,34.1,4,yes,southwest,40182.25
31,female,36.6,2,no,southeast,4949.76
55,female,29.8,0,no,northeast,11286.54
53,male,21.4,1,no,southwest,10065.41
36,male,33.4,2,yes,southwest,38415.47
49,female,27.1,1,no,southwest,26140.36
48,male,24.4,0,yes,southeast,21223.68
22,male,32.1,0,no,northwest,2055.32
45,male,33.7,1,no,southwest,7445.92
26,female,29.9,1,no,southeast,3392.98
18,female,31.9,0,no,northeast,2205.98
19,female,32.5,0,yes,northwest,36898.73
25,female,20.8,1,no,southwest,3208.79
54,female,31.2,0,no,southeast,10338.93
22,female,30.4,0,yes,northwest,33907.55
58,male,49.1,0,no,southeast,11381.33
36,male,29.7,0,no,southeast,4399.73
49,male,30.3,0,no,southwest,8116.68
38,male,19.3,0,yes,southwest,15820.7
32,female,20.5,0,no,northeast,4544.23
61,female,25.1,0,no,southeast,24513.09
46,female,34.6,1,yes,southwest,41661.6
48,male,31.4,1,no,northeast,8964.06
44,female,38.1,0,yes,southeast,48885.14
45,female,33.1,0,no,southwest,7345.08
37,female,34.8,2,yes,southwest,39836.52
19,female,30.5,0,no,northwest,2128.43
52,female,30.8,1,no,northeast,10797.34
35,male,34.3,3,no,southeast,5934.38
19,male,17.5,0,no,northwest,1621.34
39,male,35.3,2,yes,southwest,40103.89
42,male,30.0,0,yes,southwest,22144.03
47,male,29.8,3,no,northwest,9620.33
62,female,38.1,2,no,northeast,15230.32
49,male,22.5,0,no,northeast,8688.86
26,female,19.8,1,no,southwest,3378.91
28,male,29.3,2,no,northeast,4438.26
49,male,31.4,1,no,northeast,9290.14
57,male,27.9,1,no,southeast,11554.22
19,male,28.4,1,no,southwest,1842.52
39,male,45.4,2,no,southeast,6356.27
42,female,29.0,1,no,southwest,7050.64
38,female,40.6,1,no,northwest,6373.56
19,male,37.0,0,yes,northwest,36219.41
46,male,40.4,2,no,northwest,8733.23
48,female,35.9,1,no,northeast,26392.26
18,male,28.3,1,no,northeast,11272.33
41,male,28.4,1,no,northwest,6664.69
22,female,28.1,0,no,southeast,2155.68
32,male,35.2,2,no,southwest,4670.64
35,male,38.6,1,no,southwest,4762.33
46,male,43.9,3,no,southeast,8944.12
63,male,33.1,0,no,southwest,13393.76
44,female,27.5,1,no,southwest,7626.99
31,female,26.6,0,no,southeast,3757.84
60,female,32.5,0,yes,southeast,45008.96
29,male,29.0,1,no,northeast,4040.56
29,male,35.5,2,yes,southwest,44585.46
54,female,24.6,3,no,northwest,12479.71
27,male,30.5,0,no,southwest,2494.02
23,male,17.4,1,no,northwest,2775.19
21,male,31.1,0,no,southwest,1526.31
48,female,36.6,0,no,northwest,8671.19
54,male,29.2,1,no,southwest,10436.1
57,female,25.7,2,no,southeast,12629.17
64,female,33.8,1,yes,southwest,47928.03
37,male,37.1,1,yes,southeast,39871.7
34,male,32.8,1,no,southwest,14358.36
28,female,33.0,2,no,southeast,4349.46
53,female,32.3,2,no,northeast,29186.48
57,male,23.7,0,no,southwest,10959.33
38,female,28.9,1,no,southeast,5974.38
48,male,29.7,0,no,southeast,7789.64
21,female,34.6,0,no,southwest,2020.18
30,male,35.5,0,yes,southeast,36950.26
46,male,38.2,2,no,southeast,8347.16
33,male,29.4,4,no,southwest,6059.17
40,female,29.6,0,no,southwest,5910.94
45,male,36.5,2,yes,northwest,42760.5
51,female,40.7,0,no,northeast,9875.68
42,female,26.2,1,no,southeast,7046.72
35,female,43.3,2,no,southeast,5846.92
27,male,31.1,1,yes,southeast,34806.47
64,female,30.1,3,no,northwest,16455.71
52,female,18.3,0,no,northwest,9991.04
18,female,31.4,4,no,northeast,4561.19
54,female,47.4,0,yes,southeast,63770.43
43,male,27.4,3,no,northeast,8606.22
30,male,27.6,1,no,northeast,4237.13
55,male,21.5,1,no,southwest,10791.96
39,female,18.3,5,yes,southwest,19023.26
45,male,20.4,3,no,southeast,8605.36
45,male,24.3,5,no,southeast,9788.87
55,female,35.2,0,yes,southeast,44423.8
56,female,35.8,1,no,southwest,11674.13
42,female,37.9,0,no,southwest,6474.01
34,female,33.3,1,no,northeast,5594.85
62,male,30.9,3,yes,northwest,46718.16
40,male,35.3,3,no,southwest,7196.87
53,female,23.8,2,no,northeast,11729.68
49,female,36.6,3,no,southeast,10381.48
37,female,26.4,0,yes,southeast,19539.24
39,male,26.2,1,no,northwest,6123.57
29,female,38.8,3,no,southeast,5138.26
39,female,34.3,5,no,southeast,8596.83
48,female,33.3,0,no,southeast,8283.68
21,male,26.0,0,no,northeast,2102.26
56,male,32.1,1,no,northeast,11763.0
18,male,26.1,0,no,northeast,1708.93
53,male,36.6,3,no,southwest,11264.54
61,female,29.9,3,yes,southeast,30942.19
24,female,24.2,0,no,northwest,2842.76
18,female,33.9,0,no,southeast,11482.63
21,female,22.1,0,no,northeast,2585.85
48,female,28.9,0,no,southwest,8277.52
18,female,42.2,0,yes,southeast,38792.69
44,male,32.0,2,no,northwest,8116.27
37,female,27.7,3,no,northwest,7281.51
63,female,25.1,0,no,northwest,14254.61
28,female,26.5,2,no,southeast,4340.44
37,male,34.2,1,yes,northeast,39047.29
56,male,25.9,0,no,northeast,11165.42
62,male,31.5,1,no,southeast,27000.98
54,female,46.7,2,no,southwest,11538.42
28,female,33.4,0,no,southwest,3172.02
64,male,39.2,1,no,southeast,14418.28
31,female,21.8,0,no,northwest,4134.08
61,male,33.9,0,no,northeast,13143.86
31,female,32.7,1,no,northwest,4738.27
30,male,28.7,3,yes,northwest,20745.99
26,male,32.9,2,yes,southwest,36085.22
24,male,33.6,4,no,northeast,17128.43
59,female,36.8,1,yes,northeast,47896.79
21,male,31.0,0,no,southeast,16586.5
25,female,23.5,0,no,northeast,3206.49
52,female,31.7,2,no,northwest,11187.66
36,female,22.1,3,no,northeast,7228.22
23,male,32.7,3,no,southwest,3591.48
36,female,25.9,1,no,southwest,5472.45
46,female,20.0,2,no,northwest,9193.84
24,female,27.6,0,no,southwest,18955.22
45,male,28.7,2,no,southwest,8027.97
19,male,19.8,0,no,southwest,1241.57
55,female,33.5,2,no,northwest,12269.69
19,female,20.6,0,no,southwest,1731.68
20,female,33.3,0,no,southwest,1880.49
58,female,25.2,0,no,southwest,11837.16
57,male,40.3,0,no,northeast,20709.02
39,female,22.8,3,no,northeast,7985.82
64,male,26.4,0,no,northeast,14394.56
55,female,26.8,1,no,southwest,35160.13
59,female,35.2,0,no,southeast,12244.53
50,male,32.3,2,no,southwest,9630.4
48,female,31.1,0,no,southeast,8280.62
19,male,31.9,0,yes,northwest,33750.29
31,female,38.1,1,yes,northeast,58571.07
40,female,22.2,2,yes,southeast,19444.27
30,male,37.8,2,yes,southwest,39241.44
19,female,27.9,0,yes,southwest,16884.92
62,female,39.2,0,no,southeast,13470.8
47,female,24.3,0,no,northeast,8534.67
51,female,18.1,0,no,northwest,9644.25
26,male,27.3,3,no,northeast,4661.29
61,male,31.6,0,no,southeast,12557.61
51,female,34.1,0,no,southeast,9283.56
44,male,31.4,1,yes,northeast,39556.49
25,female,28.6,0,no,northeast,3213.62
42,male,26.3,1,no,northwest,6940.91
53,female,26.6,0,no,northwest,10355.64
57,male,31.5,0,no,northwest,11353.23
56,female,33.8,2,no,northwest,12643.38
22,male,37.1,2,yes,southeast,37484.45
41,female,36.1,1,no,southeast,6781.35
39,male,28.3,1,yes,southwest,21082.16
40,male,29.9,2,no,southwest,6600.36
45,female,40.0,3,no,northeast,9704.67
30,female,20.0,3,no,northwest,5693.43
18,male,23.8,0,no,northeast,1705.62
38,female,27.6,0,no,southwest,5383.54
19,male,20.6,2,no,northwest,2803.7
45,male,22.9,0,yes,northeast,35069.37
32,female,37.1,3,no,northeast,6334.34
24,male,26.8,1,no,northwest,12609.89
63,female,37.7,0,yes,southwest,48824.45
61,female,28.2,0,no,southwest,13041.92
19,female,24.6,1,no,northwest,2709.24
47,female,26.6,2,no,northeast,9715.84
23,female,35.0,3,no,northwest,4466.62
25,female,42.1,1,no,southeast,3238.44
50,female,25.6,0,no,southwest,8932.08
42,female,23.4,0,yes,northeast,19964.75
61,male,43.4,0,no,southwest,12574.05
29,male,27.9,0,no,southeast,2867.12
55,male,38.3,0,no,southeast,10226.28
21,female,21.9,1,yes,northeast,15359.1
19,female,37.4,0,no,northwest,2138.07
18,male,30.4,3,no,northeast,3481.87
50,female,27.4,0,no,northeast,25656.58
19,female,34.7,2,yes,southwest,36397.58
26,male,23.7,2,no,southwest,3484.33
52,female,24.1,1,yes,northwest,23887.66
53,female,22.9,1,yes,southeast,23244.79
61,female,22.0,0,no,northeast,13616.36
51,female,21.6,1,no,southeast,9855.13
26,male,35.4,0,no,southeast,2322.62
18,female,30.1,0,no,northeast,2203.47
32,female,41.1,0,no,southwest,3989.84
63,female,27.0,0,yes,northwest,28950.47
49,female,34.8,1,no,northwest,9583.89
43,male,30.1,1,no,southwest,6849.03
56,female,25.3,0,no,southwest,11070.54
18,female,40.2,0,no,northeast,2217.47
35,male,36.7,1,yes,northeast,39774.28
38,female,27.8,2,no,northeast,7144.86
29,female,25.9,0,no,southwest,3353.28
45,female,30.9,2,no,southwest,8520.03
28,female,37.6,1,no,southeast,3766.88
51,male,24.4,4,no,northwest,11520.1
43,male,23.2,0,no,southwest,6250.44
52,female,23.2,0,no,northeast,10197.77
46,male,25.7,3,no,northwest,9301.89
45,female,38.3,0,no,northeast,7935.29
59,male,37.4,0,no,southwest,21797.0
45,female,25.7,3,no,southwest,9101.8
62,male,27.6,1,no,northwest,13937.67
52,male,47.7,1,no,southeast,9748.91
29,male,22.5,3,no,northeast,5209.58
32,male,31.5,1,no,southwest,4076.5
25,male,24.1,0,yes,northwest,15817.99
33,male,27.1,1,yes,southwest,19040.88
64,female,39.7,0,no,southwest,14319.03
47,male,28.2,3,yes,northwest,24915.22
18,male,21.6,0,yes,northeast,13747.87
37,female,17.3,2,no,northeast,6877.98
56,male,40.3,0,no,southwest,10602.39
60,female,35.1,0,no,southwest,12644.59
20,male,27.9,0,no,northeast,1967.02
19,male,34.1,0,no,southwest,1261.44
35,female,35.8,1,no,northwest,5630.46
26,female,22.2,0,no,northwest,3176.29
57,female,24.0,1,no,southeast,22192.44
18,male,41.1,0,no,southeast,1146.8
51,female,37.7,1,no,southeast,9877.61
57,female,20.1,1,no,southwest,12032.33
54,female,21.5,3,no,northwest,12475.35
